# chi2_tot  chi2_prior  chi2_data
   792.177     8.42287    783.754
   846.299     6.34569    839.953
   799.129     5.30834     793.82
   740.009     6.35448    733.654
   815.992     4.50248     811.49
   728.196     7.50904    720.687
   680.419     6.10166    674.318
   775.103     6.88548    768.218
   813.261     7.29387    805.967
   841.045     6.68939    834.355
   761.109     4.79597    756.313
   794.049     9.68383    784.365
   804.244     7.36219    796.882
   828.865     8.14643    820.719
   767.072      6.9239    760.148
   823.955     7.83459    816.121
   762.837     8.37088    754.466
   768.835     6.54573    762.289
   772.577     6.43912    766.138
   826.615     7.50665    819.108
   771.395     8.56375    762.832
   786.906      7.9487    778.958
   802.066     7.42994    794.636
   763.489     8.76204    754.727
   825.202     5.40328    819.799
   841.862     7.38276    834.479
   788.259     7.70862    780.551
   799.008     8.18356    790.824
   777.231      7.6918     769.54
   760.734     6.84182    753.892
   845.261     7.25566    838.006
   864.998     7.18498    857.813
   762.378     7.45055    754.928
   818.738     6.73276    812.005
   791.645     6.47172    785.174
   780.182     5.55502    774.627
   778.561     6.78106     771.78
   778.038     9.02641    769.011
   752.352     8.17071    744.182
   715.167     7.16501    708.002
   769.629     7.15006    762.479
    848.24     9.31179    838.928
   816.356     5.50831    810.848
   759.999     7.65759    752.341
    789.48      8.1247    781.355
    760.49     4.86493    755.625
   797.533     7.41165    790.121
   714.204     6.78994    707.414
   854.201     5.71186    848.489
   799.712     9.05919    790.653
   753.543     7.48926    746.054
   762.737      7.2873     755.45
   735.381     5.68203    729.699
   709.875     6.38298    703.492
    742.94     4.62282    738.317
   781.886     6.43692     775.45
   777.602     7.93753    769.664
   777.266     8.11677    769.149
   720.376     8.24501    712.131
   802.522      7.5215    795.001
   808.073     8.04113    800.032
   817.222     7.18302    810.039
   823.172     6.51461    816.657
   783.813     5.93235    777.881
   835.587     7.62898    827.958
   840.887     7.39072    833.497
   791.112     6.04996    785.062
   817.456     7.51849    809.938
   760.566     4.95259    755.613
   748.335      4.3534    743.981
   852.222      8.0886    844.133
   818.898     6.78564    812.112
   806.388     7.70994    798.678
    768.32     8.22294    760.097
   862.902     6.62702    856.275
   794.522     5.47509    789.047
   835.732     6.39141    829.341
   785.601     7.32183     778.28
   796.368     7.38757    788.981
   813.432     8.25927    805.173
   803.801       10.13    793.671
   759.342     3.35716    755.985
   764.515     6.56452    757.951
   806.705     6.21079    800.494
   741.479     6.92822    734.551
   779.022     6.79728    772.225
   752.942     7.70779    745.234
    759.34     7.67785    751.663
   779.598     5.60474    773.993
   814.016     7.94052    806.075
   867.862     7.65115    860.211
   811.322     7.59748    803.724
   739.587     6.95923    732.627
   779.231     7.12976    772.101
    836.58     7.11799    829.462
   796.476     6.91453    789.562
   816.474     5.44516    811.029
   806.838     7.90534    798.933
   815.692     6.42237     809.27
   733.805     5.75699    728.048
   830.916     5.85551    825.061
   789.954     8.20487    781.749
     726.5     7.37621    719.124
   793.774     5.24532    788.528
   789.536      7.9451    781.591
   805.051     8.01623    797.035
   753.429     6.68601    746.743
    791.71     6.33402    785.376
   752.654     8.96875    743.685
   811.772     7.20176     804.57
   778.784     5.62619    773.158
   773.574     7.09027    766.484
   737.836     6.35787    731.478
   752.144     6.63454     745.51
   764.462      7.4854    756.977
   774.537     8.79085    765.746
   776.277     6.94393    769.333
   790.891     6.82811    784.063
   817.204     8.51721    808.687
   830.492      8.5034    821.988
   833.375      7.2441    826.131
   776.112     6.50263     769.61
   833.945     4.32644    829.618
    798.91     8.37137    790.539
   846.145     8.12481     838.02
