# chi2_tot  chi2_prior  chi2_data
   3505.28    0.603579    3504.68
   3575.47    0.340371    3575.13
   3539.92    0.596815    3539.32
   3570.53    0.867833    3569.66
   3655.73    0.550543    3655.18
   3602.39     1.09861    3601.29
   3645.51    0.844037    3644.67
   3599.96    0.878022    3599.08
   3420.21     0.99447    3419.22
   3624.59    0.661406    3623.93
   3600.22    0.827327     3599.4
   3488.48     1.31654    3487.16
   3554.63     2.35509    3552.27
   3515.79    0.773825    3515.01
   3632.75    0.339538    3632.41
   3571.01    0.604752     3570.4
   3401.26    0.635134    3400.62
   3433.02    0.145496    3432.87
   3556.65     1.47119    3555.18
   3545.19    0.712565    3544.48
   3636.11    0.826284    3635.29
   3673.54    0.689227    3672.85
   3603.47     1.04316    3602.43
   3534.01     1.21141    3532.79
   3433.82    0.847263    3432.98
   3427.13     2.08035    3425.05
   3587.69     1.23574    3586.46
   3721.76    0.674331    3721.08
   3528.37     0.75876    3527.61
   3646.16     0.21088    3645.95
    3532.1     1.83288    3530.27
   3481.62    0.442428    3481.17
   3723.18     1.55017    3721.63
    3489.1    0.693352    3488.41
   3612.48     2.40996    3610.07
   3735.48    0.358703    3735.13
   3645.09     1.08898       3644
   3551.21      1.4502    3549.76
   3542.24    0.745719    3541.49
   3608.89    0.421912    3608.47
   3643.56    0.338237    3643.22
   3603.84     0.51681    3603.32
   3515.04      1.0473    3513.99
   3646.94    0.475512    3646.47
   3463.94     1.07027    3462.87
   3582.15    0.934613    3581.22
   3616.26     1.14064    3615.12
   3540.94      2.0348    3538.91
   3520.79    0.968729    3519.83
   3531.55     0.83588    3530.72
   3683.12    0.489342    3682.63
   3538.92    0.262578    3538.65
    3600.1    0.555268    3599.54
   3684.46     2.67347    3681.78
   3542.58    0.534502    3542.05
   3529.44     1.08257    3528.36
   3442.31     1.10714     3441.2
   3525.21    0.931311    3524.28
   3525.62    0.520006     3525.1
   3400.94    0.629635    3400.31
   3527.07    0.776159     3526.3
   3572.76    0.438291    3572.32
   3427.03    0.404133    3426.63
   3474.34    0.581156    3473.76
   3433.12    0.663295    3432.45
   3665.31    0.690279    3664.62
   3495.37     1.20731    3494.16
   3587.45    0.464674    3586.99
   3510.09    0.378863    3509.71
   3497.31     1.39961    3495.91
   3442.89    0.633329    3442.25
    3414.1    0.531848    3413.57
   3444.11    0.381566    3443.73
   3455.31     2.01946    3453.29
   3429.43    0.773078    3428.66
   3434.31    0.368288    3433.95
   3446.88    0.793868    3446.08
   3512.16    0.316694    3511.85
   3471.24    0.230149    3471.01
   3507.24     1.27251    3505.97
   3709.27    0.389738    3708.88
   3536.43    0.947198    3535.49
   3658.39    0.972022    3657.42
   3573.01    0.578013    3572.43
   3527.57    0.859099    3526.71
   3619.81     1.19196    3618.62
    3502.8     0.66638    3502.14
   3487.44     1.01718    3486.42
   3540.61     1.78872    3538.82
