# chi2_tot  chi2_prior  chi2_data
   766.001    0.874864    765.126
   811.171    0.364493    810.806
   744.372    0.192192     744.18
    764.59    0.545591    764.045
   763.522     1.04068    762.481
   704.891     0.97456    703.917
   754.297    0.581134    753.716
   763.086       1.068    762.018
   784.205    0.719399    783.486
   806.619    0.405334    806.214
   746.983    0.261804    746.721
   814.063      1.6815    812.382
   774.905    0.123468    774.782
   789.188    0.809494    788.379
   828.271    0.433834    827.838
    822.32    0.276423    822.044
   754.731    0.280404    754.451
   758.296   0.0778122    758.218
   819.851     0.67045    819.181
   775.761    0.927978    774.833
   818.785     1.56673    817.219
   759.255    0.575926    758.679
   740.871    0.755632    740.115
   750.129     0.34498    749.784
   763.826    0.533601    763.293
   782.276    0.313245    781.963
   798.536    0.675431     797.86
   806.185    0.810836    805.374
   809.938    0.274265    809.664
   772.495    0.284209    772.211
   828.439    0.465256    827.973
   703.699    0.938729     702.76
   749.386     0.31151    749.074
   806.106    0.801064    805.305
   747.994    0.352923    747.641
   750.311    0.352069    749.959
   785.678    0.154039    785.524
   805.461    0.322824    805.138
   868.851     1.57573    867.276
   761.622    0.386925    761.235
    834.49    0.184668    834.305
   786.344    0.942925    785.401
   785.783    0.880432    784.902
     793.9    0.320479     793.58
   837.386    0.942617    836.443
   776.053    0.277542    775.776
   756.133    0.453335     755.68
    755.81    0.387154    755.423
   783.977    0.160317    783.817
   779.528    0.337989     779.19
   717.458    0.440651    717.017
   772.989    0.359638    772.629
   797.678      0.3444    797.334
   764.558    0.664786    763.893
    721.06    0.571923    720.488
   781.423    0.393256     781.03
    762.49    0.401865    762.088
   768.351    0.475205    767.876
   809.739    0.253515    809.486
   675.921    0.266727    675.654
   813.556    0.461559    813.095
   759.778    0.452583    759.326
   801.127    0.787929    800.339
   782.494    0.479173    782.015
   766.899    0.787383    766.111
   792.478    0.936176    791.542
   775.006     0.93752    774.069
    825.67    0.490468    825.179
   782.937     1.10774    781.829
   741.373     1.02877    740.344
   758.703    0.263686     758.44
   764.908    0.188822    764.719
   719.854    0.405006    719.449
   744.164     0.29509    743.869
   764.897    0.231972    764.665
   762.907     0.14148    762.765
   700.261    0.221662     700.04
   771.921    0.422072    771.499
   760.879    0.252841    760.627
   749.934    0.619982    749.314
   763.641    0.416389    763.225
   704.937    0.978689    703.959
   830.773    0.184736    830.588
   848.485    0.994288     847.49
   748.277    0.675486    747.602
   777.399    0.469307     776.93
   750.453    0.632833     749.82
   826.332     2.37801    823.954
   779.193     1.10443    778.088
   845.041    0.988798    844.052
   778.669    0.223307    778.446
   865.228    0.328363      864.9
   703.878    0.643121    703.235
     802.8    0.174788    802.625
   758.328    0.356281    757.972
   725.172    0.204542    724.967
   765.974    0.356333    765.618
   743.481    0.403883    743.077
   720.437    0.536057    719.901
    752.22    0.226207    751.994
   803.822    0.404667    803.418
   842.473    0.254006    842.219
   737.644    0.283195    737.361
    806.97     0.23589    806.735
